type,cpu,ram,price
r4.2xlarge,8,61 GiB,$0.5928 per Hour
r4.4xlarge,16,122 GiB,$1.1856 per Hour
r4.8xlarge,32,244 GiB,$2.3712 per Hour
r4.16xlarge,64,488 GiB,$4.7424 per Hour
z1d.large,2,16 GiB,$0.208 per Hour
z1d.xlarge,4,32 GiB,$0.416 per Hour
z1d.2xlarge,8,64 GiB,$0.832 per Hour
z1d.3xlarge,12,96 GiB,$1.248 per Hour
z1d.6xlarge,24,192 GiB,$2.496 per Hour
z1d.12xlarge,48,384 GiB,$4.992 per Hour
z1d.metal,48,384 GiB,$4.992 per Hour
i3.large,2,15.25 GiB,$0.172 per Hour
i3.xlarge,4,30.5 GiB,$0.344 per Hour
i3.2xlarge,8,61 GiB,$0.688 per Hour
i3.4xlarge,16,122 GiB,$1.376 per Hour
i3.8xlarge,32,244 GiB,$2.752 per Hour
i3.16xlarge,64,488 GiB,$5.504 per Hour
i3.metal,64,512 GiB,$5.504 per Hour
i3en.large,2,16 GiB,$0.25 per Hour
i3en.xlarge,4,32 GiB,$0.50 per Hour
i3en.2xlarge,8,64 GiB,$1.00 per Hour
i3en.3xlarge,12,96 GiB,$1.50 per Hour
i3en.6xlarge,24,192 GiB,$3.00 per Hour
i3en.12xlarge,48,384 GiB,$6.00 per Hour
i3en.24xlarge,96,768 GiB,$12.00 per Hour
i3en.metal,96,768 GiB,$12.00 per Hour
h1.2xlarge,8,32 GiB,$0.519 per Hour
h1.4xlarge,16,64 GiB,$1.038 per Hour
h1.8xlarge,32,128 GiB,$2.076 per Hour
h1.16xlarge,64,256 GiB,$4.152 per Hour
d3.xlarge,4,32 GiB,$0.609 per Hour
d3.2xlarge,8,64 GiB,$1.219 per Hour
d3.4xlarge,16,128 GiB,$2.437 per Hour
d3.8xlarge,32,256 GiB,$4.87448 per Hour
d3en.xlarge,4,16 GiB,$0.641 per Hour
d3en.2xlarge,8,32 GiB,$1.283 per Hour
d3en.4xlarge,16,64 GiB,$2.566 per Hour
